,name,companyName,website,phone,email,countryName,mainStandHolderName
70,Aminess Hotels & Campsites (Laguna Novigrad Ltd),Aminess Hotels & Campsites (Laguna Novigrad Ltd)@WTMKT21,https://www.aminess.com/,+38552858687,agency@aminess.com,Croatia,Croatian National Tourist Board
71,AMR™ Collection,AMResorts,,,,United States,
72,ANA – All Nippon Airways,ANA – All Nippon Airways@WTMKT21,https://www.ana.co.jp/en/gb/,020 8762 8850,lonsales-marketing@ana.co.jp,United Kingdom,Japan National Tourism Organization
73,"Anantara Resorts - Abu Dhabi, UAE (Qasr al Sarab & Sir Bani Yas Island)",Anantara Qasr Al Sarab Desert Resort@WTMKT21,https://www.anantara.com/en/,+971 2 886 2088,infoqas@anantara.com,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
74,Anantara Uluwatu Bali Resort,Anantara Uluwatu Bali Resort@WTMKT21,https://www.anantara.com/en/uluwatu-bali,+623618957555,uluwatu@anantara.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
75,ANDEAN EXPLORER'S CUSCO,ANDEAN EXPLORER'S CUSCO@WTMKT21,,,,Peru,PROMPERÚ
76,Andes World Travel,Andes World Travel@WTMKT21,,,,Colombia,PROCOLOMBIA 
77,ANDREWS TRAVELS,ANDREW THE TRAVEL COMPANY PVT LTD@WTMKT21,,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
78,Aneecha Sailing Catamaran,Aneecha Sailing Catamaran@WTMKT21,https://aneecha.id,,sales@aneecha.id,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
79,APL Media,APL Media,,,,United Kingdom,
80,Apullacta Expeditions,Apullacta Expeditions@WTMKT21,,,,Ecuador,Import Promotion Desk (IPD) - Sustainable Tourism Programme
81,APUMAYO,APUMAYO@WTMKT21,,,,Peru,PROMPERÚ
82,Aqaba Special Economic Zone Authority,Aqaba Special Economic Zone Authority@WTMKT21,,,,Jordan,Jordan Tourism Board
83,AQUA HOTEL,AQUA HOTEL @WTMKT21,https://www.aquahotel.com,,,Spain,Catalan Tourist Board
84,AQUAE SINIS ALBERGO DIFFUSO,TEKNA RESTAURI SRL@WTMKT21,,,,Italy,REGIONE AUTONOMA DELLA SARDEGNA
85,ARAGON,ARAGON@WTMKT21,https://www.turismodearagon.com/,976714000,promocionturistica@aragon.es,Spain,Turespana
86,Archipelago Traveller,Archipelago Traveller@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
87,Arcotel Hotels & Resorts GmbH,Archotel Hotels & Resorts GmbH,,,,Austria,
88,Arcotel Hotels & Resorts GmbH,Arcotel Hotels & Resorts GmbH,https://www.arcotel.com,+43 1 48555000,office@arcotel.com,Austria,
89,ARENA DI VERONA OPERA FESTIVAL,ARENA DI VERONA OPERA FESTIVAL@WTMKT21,,,,Italy,VENETO - Regional Tourism Board
90,Aroma Nepal Treks & Expedition Pvt. Ltd.,Aroma Nepal Treks & Expedition Pvt. Ltd.@WTMKT21,,,,Nepal,Import Promotion Desk (IPD) - Sustainable Tourism Programme
91,Aronda Adriana Travel d.o.o.,Aronda Adriana Travel d.o.o.,https://www.adrianatravel.com,+38551272088,info@adrianatravel.com,Croatia,
92,ARP Africa Travel Limited,ARP Africa Travel Limited,https://www.arpafrica.com,02084230220,africa@arpafrica.com,United Kingdom,
93,Artotel Group,Artotel Group@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
94,AS HOTELS  (MILAN-MONZA-ITALY),AS HOTELS  (MILAN-MONZA-ITALY)@WTMKT21,https://www.ashotels.it/,+39.0362.64.40.444,info@ashotels.it,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
95,Ascension Parish Tourist Commission,Ascension Parish@WTMKT21,,,,United States,USA Pavilion
96,Asia Bespoke Tour,Asia Bespoke Tour @WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
97,Asia Exotica,Asia Exotica@WTMKT21,,,,Thailand,Tourism Authority Of Thailand -TAT Europe
98,Asialink Holidays,Asialink Holidays@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
99,ASIAN TRAILS ,ASIAN TRAILS MALAYSIA,https://www.asiantrails.travel,+60-3-2141-5245 ,emir@asiantrails.com.my,Malaysia,
100,ASSOCIAZIONE STRADA DEL RADICCHIO ROSSO DI TREVISO E VARIEGATO DI CASTELFRANCO VENETO,ASSOCIAZIONE STRADA DEL RADICCHIO ROSSO DI TREVISO E VARIEGATO DI CASTELFRANCO VENETO@WTMKT21,,,,Italy,VENETO - Regional Tourism Board
101,ASSOCIAZIONE VIVERE NAPOLI,ASSOCIAZIONE VIVERE NAPOLI@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
102,ASTURIAS GREEN SPAIN,ASTURIAS GREEN SPAIN@WTMKT21,https://www.turismoasturias.es/en,0034 985 185 858,promocionturismo@turismoycultura.asturias.es,Spain,Turespana
103,AT Coaches Trading  as Abbey Travel Ltd,AT Coaches Trading  as Abbey Travel Ltd,https://www.abbeytravel.com/,0208 312 9514 ,enquiries@abbeytravel.com,United Kingdom,
104,Atlantis Bahamas,Atlantis@WTMKT21,,,,Bahamas,Bahamas Tourist Office
105,Atlas Tours,Atlas Travel & Tourist Agency@WTMKT21,https://www.atlastours.net/,00962 6 465 6647/18,khaled@atlastours.net,Jordan,Jordan Tourism Board
106,Atomium & Design Museum Brussels,Atomium & Design Museum Brussels@WTMKT21,,,,Belgium,Belgium - visit.brussels
107,ATOUT FRANCE,ATOUT FRANCE,,,,United Kingdom,
108,ATV SRL - LAKE GARDA & VERONA BUS SERVICE,ATV SRL - LAKE GARDA & VERONA BUS SERVICE@WTMKT21,,,,Italy,VENETO - Regional Tourism Board
109,Au Bistrot de la Montagne,Au Bistrot de la Montagne,,,,France,
110,Authentic Borneo Tours Sdn. Bhd.,Authentic Borneo Tours Sdn. Bhd. @WTMKT21,https://www.authenticborneo.com,+(60)-82-645695,marco@authenticborneo.com,Malaysia,Sarawak Tourism
111,Autoservizi Lariobus – Lake Como Taxi & Bus Operator,Autoservizi Lariobus – Lake Como Taxi & Bus Operator@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
112,AVATAR TOUR LTD - DMC for BULGARIA,AVATAR TOUR LTD@WTMKT21,,,,Bulgaria,Ministry of Tourism of The Republic of Bulgaria
113,Ave Cities Network – Red de Ciudades Ave,Ave Cities Network – Red de Ciudades Ave@WTMKT21,https://avexperience.es/es/index.htm,0034 960 07 79 27,secretaria@avexperience.es,Spain,ETOA - European tourism association
114,AYANA Hotel,AYANA Hotel@WTMKT21,http://ayana.com,+62 361 702222,Info@ayanaresort.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
115,AYIA NAPA - PROTARAS TOURISM BOARD,AYIA NAPA - PROTARAS TOURISM BOARD@WTMKT21,http://www.visitfamagusta.com.cy,99639483,lakisav@cytanet.com.cy,Cyprus,Cyprus Deputy Ministry of Tourism
116,Ayimtour Travel Agency,Ayimtour Travel Agency@WTMKT21,,,,Uzbekistan,Import Promotion Desk (IPD) - Sustainable Tourism Programme
117,Ayung Resort Ubud,Ayung Resort Ubud@WTMKT21,https://ayungresortubud.com/,03619001333,reservations@ayungresortubud.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
118,Málaga City Tourism Board,Ayuntamiento De Malaga - Delegacion de Turismo,http://www.malagaturismo.com/en,,,Spain,
119,Azimuth Adventure Travel Ltd,Azimuth Adventure Travel@WTMKT21,https://www.indonesia-travel.com/,+62-812.269.06.59 (WA),contact@azimuth-travel.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
120,USA Pavilion,B-For International,https://www.b-for.com,,,United States,
121,B-Rent Srl,B-Rent Srl,https://www.b-rent.it,00393482747561,ufficiomarketing@b-rent.it,Italy,
122,Bahamas Out Island Promotion Board,Bahamas Out Island Promotion Board@WTMKT21,,,,Bahamas,Bahamas Tourist Office
123,Bahi Ajman Palace Hotel,Bahi Ajman Palace Hotel@WTMKT21,,,,United Arab Emirates,Department of Ajman Tourism
124,Bahrain Tourism & Exhibitions Authority (BTEA),Bahrain Tourism & Exhibitions Authority (BTEA),https://www.bahrain.com,,,Bahrain,
125,Bali Cruise & Beyond,Bali Cruise & Beyond@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
126,Bali Jeep Tours,Bali Jeep Tours@WTMKT21,https://www.balijeeptour.com,+6282144068889,n.metra@balijeeptour.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
127,Bali Mandira Beach Resort & Spa,Bali Mandira Beach Resort & Spa @WTMKT21,https://www.balimandira.com ,+62361 751381,info@balimandira.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
128,Baltic Blues Travel,Baltic Blues UAB@WTMKT21,https://balticblues.travel,,wtm@balticblues.com,Lithuania,Lithuania Travel -  National Tourism Development Agency
129,Baltic Holidays,UAB „Baltic Holidays“ @WTMKT21,https://www.balticholidays.com,+441618187140,info@balticholidays.com,Lithuania,Lithuania Travel -  National Tourism Development Agency
130,Baltic Travel Group,Baltic Travel Group@WTMKT21,http://www.baltic.travel,+370 5 2609375,info@btgroup.lt,Lithuania,Lithuania Travel -  National Tourism Development Agency
131,Ban Tours,Ban Tours Ltd@WTMKT21,,,,Croatia,Croatian National Tourist Board
132,Bandos Maldives,Bandos Maldives@WTMKT21,,,,Maldives,Maldives Marketing and Public Relations Corporation
133,Banyan Tree Doha,Banyan Tree Doha and La Cigale Hotel@WTMKT21,https://www.banyantree.com/en/qatar/doha,00974 4410 3333,,Qatar,Qatar Tourism
134,Barbados Hilton,Barbados Hilton@WTMKT21,,,,Barbados,Barbados Tourism Marketing Inc
135,Barbados Tourism Marketing Inc,Barbados Tourism Marketing Inc,https://www.visitbarbados.org,,btmicla@visitbarbados.org,United Kingdom,
136,Barceló Hotel Group Czech Republic,Barceló Hotel Group Czech Republic@WTMKT21,https:// www.barcelo.com,725323554,m.janatova@barcelo.com,Czech Republic,Czech Tourist Authority - CzechTourism
137,Barceló La Nucia,Barcelo La Nucia@WTMKT21,https://www.barcelo.com/en-es/barcelo-la-nucia-palms/,+34618554300,lanucia.comercial@barcelo.com,Spain,VALENCIA REGION
138,BASQUE COUNTRY - GREEN SPAIN,BASQUE COUNTRY - GREEN SPAIN@WTMKT21,https://tourism.euskadi.eus/en/,+34946077598,info@basquetour.eus,Spain,Turespana
139,Bateaux Parisiens – Lido de Paris – Restaurants de la Tour Eiffel – Yachts de Paris – Batobus,Sodexo@WTMKT21,,,,France,ATOUT FRANCE
140,Baxter Travel Media,Baxter Travel Media,,,,Canada,
141,BBC Global News Limited,BBC Global News Limited,,,,United Kingdom,
142,BELLATRIX TOUR OPERTATOR INCOMING,BELLATRIX TOUR OPERTATOR INCOMING@WTMKT21,https://touroperator.bellatrixviaggi.com/,+39089866752,lucadifeo@bellatrixviaggi.com,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
143,Belmare Travel Sorrento,Belmare Travel Sorrento@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
144,Benchmark Hotels & Resorts,Benchmark Hotels & Resorts@WTMKT21,,,,United States,Visit Florida
145,Benidorm,Benidorm@WTMKT21,,,,Spain,VALENCIA REGION
146,BEST OF BAHRAIN,BEST OF BAHRAIN@WTMKT21,,,,Bahrain,Bahrain Tourism & Exhibitions Authority (BTEA)
147,Best of Switzerland Tours,Best of Switzerland Tours@WTMKT21,https://www.switzerland-tours.ch,+41447105050,info@switzerland-tours.ch,Switzerland,Switzerland Tourism
148,Best Tours,Best Tours@WTMKT21,,,,Tunisia,Import Promotion Desk (IPD) - Sustainable Tourism Programme
149,Beyondary,Beyondary ( Pvt ) Ltd@WTMKT21,,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
150,Bhara Tours,Bhara Tours@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
151,BIJAO BEACH RESORT,BIJAO BEACH RESORT@WTMKT21,,,,Panama,VISIT PANAMA
152,BILBAO TURISMO,BILBAO TURISMO@WTMKT21,https://www.bilbaoturismo.net,+34944795760,informacion@bilbaoturismo.bilbao.eus,Spain,Turespana
153,BISOS The first historic Boutique hotel 100% eco-sustainable,SALOCANDA SAS@WTMKT21,https://www.bisos.it,+393420768405,salocanda@gmail.com,Italy,REGIONE AUTONOMA DELLA SARDEGNA
154,Biwako Visitors Bureau,Biwako Visitors Bureau@WTMKT21,,,,Japan,Japan National Tourism Organization
155,"Blue Horizons Travel and Tours, Inc.","Blue Horizons Travel and Tours, Inc.@WTMKT21",,,,Philippines,Tourism Promotions Board (TPB) Philippines
156,Blue Kotor Bay Premium Spa Resort,Blue Kotor Bay Premium Spa Resort (Krolbay d.o.o)@WTMKT21,,,,Montenegro,Montenegro National Tourism Organisation
157,Blue Lagoon Group,Blue Lagoon Annex S.A.,https://bluelagoongroup.com ,+302242054400,info@bluelagoongroup.com,Greece,
158,BOLOGNA WELCOME INCOMING TRAVEL AGENCY,BOLOGNA WELCOME INCOMING TRAVEL AGENCY@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
159,Borneo Adventure Sdn. Bhd.,Borneo Adventure Sdn. Bhd.@WTMKT21,https://www.borneoadventure.com,+60128098358,robert@borneoadventure.com,Malaysia,Sarawak Tourism
160,Botania Relais & SPA,Botania Relais & SPA@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
161,BDPST HOTELS,BDPEST HOTEL ZRT.@WTMKT21,,,,Hungary,Visit Hungary
162,Bradenton Area Convention & Visitors Bureau,Bradenton Area Convention & Visitors Bureau@WTMKT21,,,,United States,Visit Florida
163,Bramer Tours,Bramer Tours@WTMKT21,,,,United States,Las Vegas Convention and Visitors Authority
164,Brennia Kottefaru,Brennia Kottefaru@WTMKT21,,,,Maldives,Maldives Marketing and Public Relations Corporation
165,Brighton Travel & Tours Sdn. Bhd.,Brighton Travel & Tours Sdn. Bhd.@WTMKT21,https://www.brightontt.com,+60 14638 0659,benjimbau@brightontt.com,Malaysia,Sarawak Tourism
166,Brno,Brno@WTMKT21,,,,Czech Republic,Czech Tourist Authority - CzechTourism
167,BUCINTORO VIAGGI VENEZIA,BUCINTORO VIAGGI VENEZIA@WTMKT21,,,,Italy,VENETO - Regional Tourism Board
168,"Bucuti & Tara Beach Resort, Aruba","Bucuti & Tara Beach Resort, Aruba@WTMKT21",http://www.bucuti.com,+297-583-1100,susanlogan@bucuti.com,Aruba,Caribbean Tourism Organisation Chapter UK & Europe
169,Budapest Brand Nonprofit P.L.C.  - Budapest's official organisation for tourism,BUDAPEST BRAND NONPROFIT ZRT@WTMKT21,,,,Hungary,Visit Hungary
170,Buzz DMC,Buzz DMC@WTMKT21,https://dmc.buzz/,,,Portugal,Turismo de Portugal I.P
171,BWH Hotel Group,BWH Hotel Group @WTMKT21,https://www.bwhhotelgroup.com,,charlotte.sim@bwhhotelgroup.com,United Kingdom,USA Pavilion
172,Caesar Premier Hotels Chain,Caesar Premier Hotels Chain@WTMKT21,,,,Israel,Israel Government Tourist Office
173,Caesars Entertainment,Caesars Entertainment@WTMKT21,,,,United States,Las Vegas Convention and Visitors Authority
174,CALA GINEPRO HOTELS,CALA GINEPRO SRL@WTMKT21,,,,Italy,REGIONE AUTONOMA DELLA SARDEGNA
175,CALA MILLOR - MALLORCA,CONSORCIO SON SERVERA - SANT LLORENÇ@WTMKT21,https://visitcalamillor.com/en/,,info@visitcalamillor.com,Spain,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)"
176,CALVIA,CALVIA AJUNTAMENT@WTMKT21,,,,Spain,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)"
177,CAMPANIA FOOD & TRAVEL,CAMPANIA FOOD & TRAVEL@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
178,Campania Overland,Campania Overland@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
179,Campania.Divina,Campania.Divina@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
180,Campigir,Campigir@WTMKT21,,,,Portugal,Turismo de Portugal I.P
181,Campus Adventures,Campus Adventures@WTMKT21,,,,Ecuador,Import Promotion Desk (IPD) - Sustainable Tourism Programme
182,Canary Islands,Canary Islands.,https://www.hellocanaryislands.com/,0034928290579,info@turismodecanarias.com,Spain,
183,Cape St Francis Resort,Cape St Francis Resort@WTMKT21,http://www.capestfrancis.co.za,+27 422980054,anita@capestfrancisresort.co.za,South Africa,South African Tourism
184,Capital Experience  - Tourism 365,Capital Experience  - Tourism 365@WTMKT21,,,,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
185,Capital Travel & Tours Pvt Ltd,Capital Travel & Tours Pvt Ltd@WTMKT21,,,,Maldives,Maldives Marketing and Public Relations Corporation
186,capri top tours,capri top tours@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
187,Caraka Travelindo,Caraka Travelindo@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
188,Caribbean Tourism Organisation Chapter UK & Europe,Caribbean Tourism Organisation UK & Europe,https://caribbean.co.uk/,+44 208 948 0057,digital@caribbean.co.uk,Barbados,
189,Cartagena Puerto de Culturas,Cartagena Puerto de Culturas@WTMKT21,,,,Spain,Instituto de Turismo de la Region de Murcia
190,CARWIZ rent a car,CARWIZ d.o.o.,https://www.carwiz.rent/,+385 1 4094 452,franchise@carwiz.rent,Croatia,
191,Castellon,Castellon@WTMKT21,,,,Spain,VALENCIA REGION
192,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA@WTMKT21,,,,Spain,Turespana
